sc_id,msnv_id,num_processed,num_triggered,total,processed/triggered,triggered/total,processed/total
17,74,1,1,1,1.0,1.0,1.0
18,3,4,5,6,0.8,0.8333333333333334,0.6666666666666666
18,5,3,4,4,0.75,1.0,0.75
18,9,1,1,2,1.0,0.5,0.5
18,11,1,1,1,1.0,1.0,1.0
18,20,2,2,2,1.0,1.0,1.0
18,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
18,28,1,3,4,0.3333333333333333,0.75,0.25
18,30,1,1,1,1.0,1.0,1.0
18,60,2,2,2,1.0,1.0,1.0
18,62,1,1,2,1.0,0.5,0.5
18,66,1,1,2,1.0,0.5,0.5
18,72,1,2,2,0.5,1.0,0.5
18,74,1,1,1,1.0,1.0,1.0
20,3,0,6,6,0.0,1.0,0.0
20,5,2,4,4,0.5,1.0,0.5
20,9,0,2,2,0.0,1.0,0.0
20,11,1,1,1,1.0,1.0,1.0
20,20,1,2,2,0.5,1.0,0.5
20,27,1,3,3,0.3333333333333333,1.0,0.3333333333333333
20,28,1,4,4,0.25,1.0,0.25
20,30,1,1,1,1.0,1.0,1.0
20,60,2,2,2,1.0,1.0,1.0
20,62,0,2,2,0.0,1.0,0.0
20,66,0,2,2,0.0,1.0,0.0
20,72,0,2,2,0.0,1.0,0.0
20,74,0,1,1,0.0,1.0,0.0
21,3,6,6,6,1.0,1.0,1.0
21,5,4,4,4,1.0,1.0,1.0
21,9,2,2,2,1.0,1.0,1.0
21,11,0,1,1,0.0,1.0,0.0
21,20,2,2,2,1.0,1.0,1.0
21,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
21,28,1,2,4,0.5,0.5,0.25
21,30,1,1,1,1.0,1.0,1.0
21,60,2,2,2,1.0,1.0,1.0
21,66,1,2,2,0.5,1.0,0.5
21,72,0,2,2,0.0,1.0,0.0
21,74,1,1,1,1.0,1.0,1.0
22,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
22,5,4,4,4,1.0,1.0,1.0
22,9,2,2,2,1.0,1.0,1.0
22,11,1,1,1,1.0,1.0,1.0
22,20,2,2,2,1.0,1.0,1.0
22,27,3,3,3,1.0,1.0,1.0
22,28,4,4,4,1.0,1.0,1.0
22,30,1,1,1,1.0,1.0,1.0
22,60,2,2,2,1.0,1.0,1.0
22,62,2,2,2,1.0,1.0,1.0
22,66,2,2,2,1.0,1.0,1.0
22,72,2,2,2,1.0,1.0,1.0
22,74,1,1,1,1.0,1.0,1.0
24,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
24,5,4,4,4,1.0,1.0,1.0
24,9,2,2,2,1.0,1.0,1.0
24,11,1,1,1,1.0,1.0,1.0
24,20,2,2,2,1.0,1.0,1.0
24,27,3,3,3,1.0,1.0,1.0
24,28,2,4,4,0.5,1.0,0.5
24,30,1,1,1,1.0,1.0,1.0
24,60,2,2,2,1.0,1.0,1.0
24,62,2,2,2,1.0,1.0,1.0
24,66,1,2,2,0.5,1.0,0.5
24,72,2,2,2,1.0,1.0,1.0
24,74,1,1,1,1.0,1.0,1.0
25,3,3,4,6,0.75,0.6666666666666666,0.5
25,9,2,2,2,1.0,1.0,1.0
25,11,1,1,1,1.0,1.0,1.0
25,20,2,2,2,1.0,1.0,1.0
25,27,1,1,3,1.0,0.3333333333333333,0.3333333333333333
25,28,2,2,4,1.0,0.5,0.5
25,30,1,1,1,1.0,1.0,1.0
25,60,2,2,2,1.0,1.0,1.0
25,62,1,1,2,1.0,0.5,0.5
25,72,0,1,2,0.0,0.5,0.0
29,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
29,5,4,4,4,1.0,1.0,1.0
29,9,2,2,2,1.0,1.0,1.0
29,11,1,1,1,1.0,1.0,1.0
29,20,2,2,2,1.0,1.0,1.0
29,27,3,3,3,1.0,1.0,1.0
29,28,4,4,4,1.0,1.0,1.0
29,30,1,1,1,1.0,1.0,1.0
29,60,2,2,2,1.0,1.0,1.0
29,62,2,2,2,1.0,1.0,1.0
29,66,2,2,2,1.0,1.0,1.0
29,72,1,2,2,0.5,1.0,0.5
29,74,1,1,1,1.0,1.0,1.0
30,3,5,5,6,1.0,0.8333333333333334,0.8333333333333334
30,5,3,4,4,0.75,1.0,0.75
30,9,2,2,2,1.0,1.0,1.0
30,11,1,1,1,1.0,1.0,1.0
30,20,2,2,2,1.0,1.0,1.0
30,27,1,2,3,0.5,0.6666666666666666,0.3333333333333333
30,28,4,4,4,1.0,1.0,1.0
30,30,1,1,1,1.0,1.0,1.0
30,60,2,2,2,1.0,1.0,1.0
30,62,2,2,2,1.0,1.0,1.0
30,66,2,2,2,1.0,1.0,1.0
30,72,2,2,2,1.0,1.0,1.0
30,74,1,1,1,1.0,1.0,1.0
34,3,6,6,6,1.0,1.0,1.0
34,5,4,4,4,1.0,1.0,1.0
34,9,2,2,2,1.0,1.0,1.0
34,11,1,1,1,1.0,1.0,1.0
34,20,2,2,2,1.0,1.0,1.0
34,27,3,3,3,1.0,1.0,1.0
34,28,3,3,4,1.0,0.75,0.75
34,30,1,1,1,1.0,1.0,1.0
34,60,2,2,2,1.0,1.0,1.0
34,62,2,2,2,1.0,1.0,1.0
34,66,2,2,2,1.0,1.0,1.0
34,72,2,2,2,1.0,1.0,1.0
34,74,1,1,1,1.0,1.0,1.0
35,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
35,5,3,4,4,0.75,1.0,0.75
35,9,2,2,2,1.0,1.0,1.0
35,11,1,1,1,1.0,1.0,1.0
35,20,2,2,2,1.0,1.0,1.0
35,27,3,3,3,1.0,1.0,1.0
35,28,3,3,4,1.0,0.75,0.75
35,30,1,1,1,1.0,1.0,1.0
35,60,2,2,2,1.0,1.0,1.0
35,62,2,2,2,1.0,1.0,1.0
35,66,2,2,2,1.0,1.0,1.0
35,72,2,2,2,1.0,1.0,1.0
35,74,1,1,1,1.0,1.0,1.0
37,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
37,5,3,4,4,0.75,1.0,0.75
37,9,2,2,2,1.0,1.0,1.0
37,11,1,1,1,1.0,1.0,1.0
37,20,2,2,2,1.0,1.0,1.0
37,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
37,28,4,4,4,1.0,1.0,1.0
37,30,1,1,1,1.0,1.0,1.0
37,60,2,2,2,1.0,1.0,1.0
37,62,2,2,2,1.0,1.0,1.0
37,66,2,2,2,1.0,1.0,1.0
37,72,1,2,2,0.5,1.0,0.5
37,74,0,1,1,0.0,1.0,0.0
38,3,6,6,6,1.0,1.0,1.0
38,5,3,4,4,0.75,1.0,0.75
38,9,2,2,2,1.0,1.0,1.0
38,11,1,1,1,1.0,1.0,1.0
38,20,1,1,2,1.0,0.5,0.5
38,27,3,3,3,1.0,1.0,1.0
38,28,1,1,4,1.0,0.25,0.25
38,30,0,0,1,,0.0,0.0
38,60,1,1,2,1.0,0.5,0.5
38,62,2,2,2,1.0,1.0,1.0
38,66,1,1,2,1.0,0.5,0.5
38,72,1,2,2,0.5,1.0,0.5
38,74,0,1,1,0.0,1.0,0.0
39,3,5,6,6,0.8333333333333334,1.0,0.8333333333333334
39,5,3,4,4,0.75,1.0,0.75
39,9,2,2,2,1.0,1.0,1.0
39,11,1,1,1,1.0,1.0,1.0
39,20,1,2,2,0.5,1.0,0.5
39,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
39,28,4,4,4,1.0,1.0,1.0
39,30,1,1,1,1.0,1.0,1.0
39,60,2,2,2,1.0,1.0,1.0
39,62,2,2,2,1.0,1.0,1.0
39,66,2,2,2,1.0,1.0,1.0
39,72,2,2,2,1.0,1.0,1.0
39,74,1,1,1,1.0,1.0,1.0
41,3,0,6,6,0.0,1.0,0.0
41,5,3,4,4,0.75,1.0,0.75
41,9,0,2,2,0.0,1.0,0.0
41,11,0,1,1,0.0,1.0,0.0
41,20,0,2,2,0.0,1.0,0.0
41,27,0,3,3,0.0,1.0,0.0
41,28,1,3,4,0.3333333333333333,0.75,0.25
41,30,0,1,1,0.0,1.0,0.0
41,60,0,2,2,0.0,1.0,0.0
41,62,0,1,2,0.0,0.5,0.0
41,66,1,2,2,0.5,1.0,0.5
41,72,0,2,2,0.0,1.0,0.0
41,74,0,1,1,0.0,1.0,0.0
42,3,3,3,6,1.0,0.5,0.5
42,5,3,4,4,0.75,1.0,0.75
42,9,2,2,2,1.0,1.0,1.0
42,11,1,1,1,1.0,1.0,1.0
42,20,2,2,2,1.0,1.0,1.0
42,27,3,3,3,1.0,1.0,1.0
42,28,3,4,4,0.75,1.0,0.75
42,30,1,1,1,1.0,1.0,1.0
42,60,2,2,2,1.0,1.0,1.0
42,62,2,2,2,1.0,1.0,1.0
42,66,2,2,2,1.0,1.0,1.0
42,72,2,2,2,1.0,1.0,1.0
42,74,0,1,1,0.0,1.0,0.0
43,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
43,5,4,4,4,1.0,1.0,1.0
43,9,1,2,2,0.5,1.0,0.5
43,11,1,1,1,1.0,1.0,1.0
43,20,2,2,2,1.0,1.0,1.0
43,27,3,3,3,1.0,1.0,1.0
43,28,4,4,4,1.0,1.0,1.0
43,30,1,1,1,1.0,1.0,1.0
43,60,2,2,2,1.0,1.0,1.0
43,62,2,2,2,1.0,1.0,1.0
43,66,2,2,2,1.0,1.0,1.0
43,72,0,0,2,,0.0,0.0
43,74,1,1,1,1.0,1.0,1.0
44,3,6,6,6,1.0,1.0,1.0
44,5,4,4,4,1.0,1.0,1.0
44,9,2,2,2,1.0,1.0,1.0
44,11,1,1,1,1.0,1.0,1.0
44,20,2,2,2,1.0,1.0,1.0
44,27,3,3,3,1.0,1.0,1.0
44,28,3,4,4,0.75,1.0,0.75
44,30,1,1,1,1.0,1.0,1.0
44,60,2,2,2,1.0,1.0,1.0
44,62,2,2,2,1.0,1.0,1.0
44,66,2,2,2,1.0,1.0,1.0
44,72,2,2,2,1.0,1.0,1.0
44,74,1,1,1,1.0,1.0,1.0
46,3,6,6,6,1.0,1.0,1.0
46,5,4,4,4,1.0,1.0,1.0
46,9,2,2,2,1.0,1.0,1.0
