,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
60,4,28,28_ref_104_rule,968007,985646.0,1013092,17639.0,8.0,34043.0,16404.0
61,4,28,28_ref_103_rule,968007,989127.0,1013092,21120.0,7.0,29005.0,7885.0
62,4,11,11_ref_101_rule,1029589,1039937.0,1082560,10348.0,11.0,33710.0,23362.0
63,4,74,74_ref_101_rule,1103063,1118693.0,1142017,15630.0,11.0,19426.0,3796.0
64,5,20,20_ref_100_rule,51355,58920.0,104259,7565.0,3.0,30053.0,22488.0
65,5,20,20_ref_101_rule,51355,69228.0,104259,17873.0,19.0,32210.0,14337.0
66,5,66,66_ref_101_rule,126577,142721.0,176426,16144.0,8.0,25133.0,8989.0
67,5,66,66_ref_100_rule,126577,145918.0,176426,19341.0,1.0,34834.0,15493.0
68,5,11,11_ref_101_rule,200268,209943.0,235668,9675.0,4.0,25415.0,15740.0
69,5,76,76_ref_101_rule,268895,276333.0,320600,7438.0,,,
70,5,76,76_ref_100_rule,268895,284768.0,320600,15873.0,,,
71,5,9,9_ref_101_rule,338305,353364.0,385405,15059.0,4.0,27397.0,12338.0
72,5,9,9_ref_100_rule,338305,359335.0,385405,21030.0,10.0,30637.0,9607.0
73,5,30,30_ref_100_rule,430991,436816.0,488359,5825.0,23.0,17679.0,11854.0
74,5,28,28_ref_100_rule,508486,513806.0,564855,5320.0,3.0,15931.0,10611.0
75,5,28,28_ref_101_rule,508486,517078.0,564855,8592.0,0.0,-1.0,
76,5,28,28_ref_103_rule,508486,524056.0,564855,15570.0,10.0,17213.0,1643.0
77,5,28,28_ref_104_rule,508486,543607.0,564855,35121.0,5.0,38381.0,3260.0
78,5,74,74_ref_101_rule,589629,602478.0,634214,12849.0,2.0,24433.0,11584.0
79,5,3,3_ref_106_rule,652535,659184.0,727215,6649.0,2.0,41812.0,35163.0
80,5,3,3_ref_101_rule,652535,666719.0,727215,14184.0,2.0,43686.0,29502.0
81,5,3,3_ref_100_rule,652535,673048.0,727215,20513.0,5.0,39272.0,18759.0
82,5,3,3_ref_105_rule,652535,678169.0,727215,25634.0,8.0,39764.0,14130.0
83,5,3,3_ref_102_rule,652535,684480.0,727215,31945.0,4.0,39514.0,7569.0
84,5,3,3_ref_104_rule,652535,688585.0,727215,36050.0,5.0,44169.0,8119.0
85,5,62,62_ref_101_rule,751798,765392.0,811158,13594.0,3.0,26198.0,12604.0
86,5,62,62_ref_100_rule,751798,784043.0,811158,32245.0,4.0,42545.0,10300.0
