sc_id,msnv_id,mean trigger_to_fixation_time,std trigger_to_fixation_time,count
35,66,6505.5,7954.244181567473,2.0
35,72,9466.0,7177.133829043458,2.0
35,27,2812.0,1532.035247636294,3.0
35,60,4504.5,4233.44829896386,2.0
35,30,10399.0,,1.0
35,20,9362.5,9597.56034104501,2.0
35,5,5959.666666666667,7046.030537354584,3.0
35,9,7178.5,4097.683796976043,2.0
37,30,5667.0,,1.0
37,9,7745.0,9808.985268619786,2.0
37,62,17060.0,3709.4821741046285,2.0
37,28,22478.0,23104.599873906784,4.0
37,60,2883.5,17.67766952966369,2.0
37,20,11368.5,1885.8537854245224,2.0
37,72,13638.0,,1.0
37,11,23876.0,,1.0
37,76,,,0.0
37,74,,,0.0
37,3,41470.75,20307.695821617315,4.0
37,27,7588.5,6876.613447039174,2.0
37,66,5902.5,7371.588193869758,2.0
37,5,55369.333333333336,6725.920482233888,3.0
38,28,14488.0,,1.0
38,72,19764.0,,1.0
38,5,7011.333333333333,7961.957631973015,3.0
38,66,12807.0,,1.0
38,20,11431.0,,1.0
38,9,23468.0,14372.652434397765,2.0
38,27,5298.0,3825.7165341933005,3.0
38,74,,,0.0
38,3,53892.333333333336,43708.62477208207,6.0
38,30,,,0.0
38,62,15745.5,19392.403474041064,2.0
38,60,817.0,,1.0
38,76,,,0.0
38,11,1652.0,,1.0
39,66,15354.5,20231.03211652831,2.0
39,60,711.0,83.43860018001261,2.0
39,3,6071.4,9907.02509838347,5.0
39,74,7503.0,,1.0
39,20,1577.0,,1.0
39,27,2573.5,1331.482068974269,2.0
39,30,7649.0,,1.0
39,72,2170.0,1347.7455249415596,2.0
39,62,1862.0,364.8670990922585,2.0
39,76,,,0.0
39,11,26565.0,,1.0
39,28,10877.5,14335.242923182943,4.0
39,5,1986.6666666666667,656.8883720491126,3.0
39,9,2856.5,358.5031380615796,2.0
41,28,6159.0,,1.0
41,9,,,0.0
41,72,,,0.0
41,20,,,0.0
41,74,,,0.0
41,30,,,0.0
41,60,,,0.0
41,66,4871.0,,1.0
41,62,,,0.0
41,3,,,0.0
41,11,,,0.0
41,27,,,0.0
41,76,,,0.0
41,5,27622.666666666668,6358.332276103014,3.0
42,76,,,0.0
42,11,979.0,,1.0
42,20,829.0,260.2152954766495,2.0
42,62,5954.5,7565.335451914872,2.0
42,60,1905.0,118.79393923933998,2.0
42,27,5411.666666666667,2119.762329444821,3.0
42,66,4161.5,2472.7524138093568,2.0
42,9,6092.5,7801.509116831179,2.0
42,28,12144.333333333334,13759.561415006414,3.0
42,72,9239.5,10918.43580830148,2.0
42,3,16943.0,10405.328971253144,3.0
42,30,13667.0,,1.0
42,5,3003.0,2909.547559329457,3.0
42,74,,,0.0
43,72,,,0.0
43,27,13606.666666666666,10426.497989897343,3.0
43,11,56868.0,,1.0
43,74,16872.0,,1.0
43,20,14863.5,5139.959192445014,2.0
43,60,16192.0,10687.21189085348,2.0
43,62,32307.0,2991.061684419096,2.0
43,5,90055.75,7883.893808476452,4.0
43,9,13875.0,,1.0
43,76,,,0.0
43,66,16026.5,3367.9495987915257,2.0
43,28,33683.25,7947.752779874321,4.0
43,30,14071.0,,1.0
43,3,37755.5,11634.75117911853,4.0
44,3,1420.1666666666667,394.8647447755581,6.0
44,9,3687.5,4079.2990206651925,2.0
44,27,1204.3333333333333,141.00118202814235,3.0
44,62,552.0,234.75945135393377,2.0
44,60,16699.5,22410.33521614525,2.0
44,76,,,0.0
44,72,17751.0,5388.153672641492,2.0
44,66,7449.5,7991.013734189173,2.0
44,20,5826.0,6914.090106442061,2.0
44,74,5607.0,,1.0
44,28,6886.333333333333,6188.58314425308,3.0
44,11,3517.0,,1.0
44,30,28021.0,,1.0
44,5,1210.5,533.5131988370422,4.0
46,3,14150.166666666666,24951.180881206135,6.0
46,76,,,0.0
46,66,19368.0,7119.15107298616,2.0
46,5,57644.25,30076.15830271546,4.0
46,60,3780.5,159.0990257669732,2.0
46,28,21890.0,15676.344376161172,3.0
46,72,17517.5,3490.9861787179852,2.0
46,30,22592.0,,1.0
46,74,9258.0,,1.0
46,9,17522.5,2861.6611434619576,2.0
46,27,22670.0,17672.679451628155,3.0
46,11,23455.0,,1.0
46,20,9059.5,7142.485596765317,2.0
46,62,848.5,58.68986283848344,2.0
49,3,16569.75,20382.761578925787,4.0
49,30,1475.0,,1.0
49,28,2220.0,,1.0
49,5,6373.0,4932.30179530815,3.0
49,11,5033.0,,1.0
49,20,1787.0,442.64884502277874,2.0
49,9,1729.5,280.72139213105936,2.0
49,60,2836.0,,1.0
49,76,,,0.0
49,74,901.0,,1.0
49,27,1423.0,,1.0
49,72,,,0.0
50,5,22452.333333333332,21979.529506641706,3.0
50,20,8187.0,8939.243927760333,2.0
50,76,,,0.0
50,3,4071.0,4416.588955291176,2.0
50,27,8710.0,513.3595231414336,2.0
50,72,7875.0,,1.0
50,11,2619.0,,1.0
50,66,3269.0,3149.453603404883,2.0
50,28,,,0.0
50,60,,,0.0
51,72,,,0.0
51,27,29490.0,1377.4440097513946,2.0
51,60,30891.0,19779.190883350107,2.0
51,74,11939.0,,1.0
51,9,16491.5,4910.856595340572,2.0
51,30,,,0.0
51,5,54659.5,27923.56742371337,4.0
51,66,11871.0,,1.0
51,11,2885.0,,1.0
51,3,65490.25,28955.914092231083,4.0
51,76,,,0.0
51,20,17868.0,3344.6150750123697,2.0
51,28,19193.0,20852.578977191286,2.0
51,62,25765.0,,1.0
54,74,20848.0,,1.0
54,66,25988.0,2726.6037482553274,2.0
54,5,51669.75,7058.697300730025,4.0
54,11,2675.0,,1.0
54,76,,,0.0
54,60,9984.0,4822.468247692254,2.0
54,9,20474.5,395.2726906832801,2.0
54,3,20268.0,17260.388712308886,5.0
54,27,6532.0,917.6181122885489,3.0
54,30,17454.0,,1.0
54,20,4077.0,2354.6655813512034,2.0
54,28,14589.5,8049.397058165288,4.0
54,62,31359.5,8155.062507424453,2.0
54,72,16719.0,2455.074744279693,2.0
56,9,16433.0,2095.864499436927,2.0
56,28,16683.5,2584.475285236831,2.0
56,66,8406.0,,1.0
56,20,5449.0,4204.456920935211,2.0
56,62,18671.0,818.829652614022,2.0
56,5,37556.5,6930.353562409352,2.0
56,3,25044.0,,1.0
56,74,,,0.0
56,60,5367.0,,1.0
56,27,13515.0,,1.0
56,30,6484.0,,1.0
56,11,,,0.0
60,3,22663.5,30291.86007824544,4.0
60,66,9215.5,1154.705373677632,2.0
60,20,4589.0,4427.902663790161,2.0
60,9,11008.0,595.383909759073,2.0
60,76,,,0.0
60,27,1261.0,,1.0
60,72,17295.0,2920.3510063004414,2.0
60,11,20290.0,,1.0
60,60,1257.0,,1.0
60,5,,,0.0
60,30,4565.0,,1.0
60,62,,,0.0
60,28,,,0.0
60,74,13089.0,,1.0
63,72,33897.5,10482.858031090567,2.0
63,3,51103.25,14879.471907631669,4.0
63,9,20422.0,1053.589103967956,2.0
63,62,16525.0,,1.0
63,27,21628.5,8477.503199645518,2.0
63,5,42098.0,24507.263861965497,4.0
63,66,13804.0,223.44574285494903,2.0
63,60,16180.5,19313.207514548172,2.0
63,20,16492.0,,1.0
63,28,14842.333333333334,10397.767084010553,3.0
63,76,,,0.0
63,74,10460.0,,1.0
63,30,26676.0,,1.0
66,66,22560.0,52.32590180780452,2.0
66,62,14608.0,1224.7089450151004,2.0
66,30,16837.0,,1.0
66,28,22704.5,235.46655813512032,2.0
66,20,11500.5,1448.8617946512359,2.0
66,11,28616.0,,1.0
66,74,11758.0,,1.0
66,60,8798.0,2884.995667241114,2.0
66,72,15350.5,4693.067706735116,2.0
66,3,52006.5,15128.44998669725,4.0
66,76,,,0.0
66,9,25696.5,3855.8532778102435,2.0
66,27,24218.666666666668,7440.389797136527,3.0
66,5,39580.0,9858.007963072458,3.0
68,11,17816.0,,1.0
68,76,,,0.0
68,20,8792.5,948.2301935711603,2.0
68,28,26680.0,12232.123691330136,4.0
68,5,28967.5,20057.077927754082,4.0
68,27,15008.5,11600.086745365312,2.0
68,9,17067.5,806.8088373338508,2.0
68,3,34636.666666666664,13634.125800113969,3.0
68,72,17607.0,4757.414423823092,2.0
68,60,9093.0,,1.0
68,66,8203.0,,1.0
68,74,15648.0,,1.0
68,62,17464.0,19400.18164863412,2.0
68,30,17457.0,,1.0
69,62,5660.0,5929.797467030387,2.0
69,66,,,0.0
69,27,2626.0,,1.0
69,20,3300.5,943.987552884041,2.0
69,28,11809.25,14851.540893680583,4.0
69,72,2527.0,,1.0
69,74,5506.0,,1.0
69,5,25793.5,43615.931022964534,4.0
69,3,6330.2,4542.089904438264,5.0
69,60,8343.0,7536.344073886224,2.0
69,76,,,0.0
69,30,9544.0,,1.0
69,11,3645.0,,1.0
69,9,15528.5,10458.816400530224,2.0
71,66,2296.0,,1.0
71,76,,,0.0
71,30,6188.0,,1.0
71,20,31259.0,5192.992201034005,2.0
71,60,21711.0,15798.179705269844,2.0
71,72,31920.0,19767.87717485112,2.0
71,11,28118.0,,1.0
71,27,20898.666666666668,16658.870680011096,3.0
71,9,42511.5,6906.31193184901,2.0
71,62,11260.0,15009.048537465658,2.0
71,3,38674.833333333336,28876.592461138254,6.0
71,28,17265.5,12131.807353674334,4.0
71,5,1243.0,317.5106297433206,3.0
71,74,7604.0,,1.0
73,3,24342.25,6521.974004599118,4.0
73,30,6412.0,,1.0
73,27,8362.0,9957.477692668963,2.0
73,20,4914.0,,1.0
73,11,1737.0,,1.0
73,28,2305.0,2001.1121907579295,2.0
73,72,9945.0,,1.0
73,62,8959.0,,1.0
73,74,12960.0,,1.0
73,5,,,0.0
73,76,,,0.0
73,9,11742.5,2856.0042892124657,2.0
73,66,1286.0,,1.0
73,60,,,0.0
75,74,3645.0,,1.0
75,3,23627.8,19421.649999420748,5.0
75,20,5425.5,4488.006740191017,2.0
75,72,21788.0,806.1017305526642,2.0
75,66,5956.5,1318.7541469129112,2.0
75,9,13861.0,4999.244942988891,2.0
75,28,8957.25,9538.066658570453,4.0
75,60,2813.5,1342.7957774732538,2.0
75,62,2904.5,1584.626296639053,2.0
75,76,,,0.0
75,30,8166.0,,1.0
75,11,1055.0,,1.0
75,5,22503.0,16069.376808078152,3.0
75,27,2594.0,,1.0
77,62,31718.5,2180.0102063981262,2.0
77,27,14897.666666666666,6442.858164924425,3.0
77,30,969.0,,1.0
77,3,37137.833333333336,28018.085897624533,6.0
77,76,,,0.0
77,5,44444.0,3989.6336506835646,4.0
77,74,9154.0,,1.0
77,9,18773.5,994.8992411294723,2.0
77,11,3578.0,,1.0
77,66,9490.0,3768.8791437242985,2.0
77,28,6281.25,3714.883701634099,4.0
77,60,12169.0,10869.645440399609,2.0
77,20,6880.0,4686.703745704437,2.0
77,72,18655.0,2998.1327522309616,2.0
78,74,1300.0,,1.0
78,3,27188.0,9191.186408728745,6.0
78,72,13664.0,6281.9366440612885,2.0
78,30,3122.0,,1.0
78,27,10263.0,,1.0
78,28,11313.666666666666,6454.121344794606,3.0
78,60,11262.0,,1.0
78,66,6846.0,,1.0
78,11,26219.0,,1.0
78,5,42456.666666666664,14150.447213192003,3.0
78,20,5108.0,3049.044440476393,2.0
78,9,10647.0,1760.6958851545032,2.0
78,62,17470.0,3173.4952339652255,2.0
78,76,,,0.0
81,27,18415.0,16263.988471466648,3.0
81,11,11487.0,,1.0
81,76,,,0.0
81,60,,,0.0
81,28,19361.5,18231.420067199007,4.0
81,74,1012.0,,1.0
81,62,917.0,217.78888860545663,2.0
81,9,6532.5,7296.634875063984,2.0
81,66,27764.5,1430.4770183403857,2.0
81,5,,,0.0
81,30,18176.0,,1.0
81,3,35088.833333333336,27624.146809750822,6.0
81,72,77389.0,3804.2344827836255,2.0
81,20,23442.0,24294.7747880074,2.0
85,72,,,0.0
85,76,,,0.0
85,11,12333.0,,1.0
85,60,24014.0,,1.0
85,28,12368.333333333334,3764.298916575746,3.0
85,62,10218.0,5881.714205909702,2.0
85,3,15980.666666666666,14758.416491390035,3.0
85,5,39834.0,14237.011929006263,4.0
85,9,7741.5,994.8992411294723,2.0
85,27,10663.0,6105.589488329526,3.0
85,30,4657.0,,1.0
85,20,4253.5,2878.631706210435,2.0
85,74,4101.0,,1.0
