sc_id,msnv_id,num_processed,num_triggered,total,processed/triggered,triggered/total,processed/total
22,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
22,28,3,3,4,1.0,0.75,0.75
22,60,1,1,2,1.0,0.5,0.5
22,62,1,1,2,1.0,0.5,0.5
22,66,1,1,2,1.0,0.5,0.5
22,72,1,1,2,1.0,0.5,0.5
24,3,4,5,6,0.8,0.8333333333333334,0.6666666666666666
24,5,3,3,4,1.0,0.75,0.75
24,9,1,1,2,1.0,0.5,0.5
24,20,1,1,2,1.0,0.5,0.5
24,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
24,28,1,3,4,0.3333333333333333,0.75,0.25
24,60,1,1,2,1.0,0.5,0.5
24,62,1,1,2,1.0,0.5,0.5
24,66,0,1,2,0.0,0.5,0.0
24,72,1,1,2,1.0,0.5,0.5
25,3,2,3,6,0.6666666666666666,0.5,0.3333333333333333
25,9,1,1,2,1.0,0.5,0.5
25,20,1,1,2,1.0,0.5,0.5
25,28,1,1,4,1.0,0.25,0.25
25,60,1,1,2,1.0,0.5,0.5
29,3,4,5,6,0.8,0.8333333333333334,0.6666666666666666
29,5,3,3,4,1.0,0.75,0.75
29,9,1,1,2,1.0,0.5,0.5
29,20,1,1,2,1.0,0.5,0.5
29,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
29,28,3,3,4,1.0,0.75,0.75
29,60,1,1,2,1.0,0.5,0.5
29,62,1,1,2,1.0,0.5,0.5
29,66,1,1,2,1.0,0.5,0.5
29,72,1,1,2,1.0,0.5,0.5
30,3,4,4,6,1.0,0.6666666666666666,0.6666666666666666
30,5,2,3,4,0.6666666666666666,0.75,0.5
30,9,1,1,2,1.0,0.5,0.5
30,20,1,1,2,1.0,0.5,0.5
30,27,1,1,3,1.0,0.3333333333333333,0.3333333333333333
30,28,3,3,4,1.0,0.75,0.75
30,60,1,1,2,1.0,0.5,0.5
30,62,1,1,2,1.0,0.5,0.5
30,66,1,1,2,1.0,0.5,0.5
30,72,1,1,2,1.0,0.5,0.5
34,3,5,5,6,1.0,0.8333333333333334,0.8333333333333334
34,5,3,3,4,1.0,0.75,0.75
34,9,1,1,2,1.0,0.5,0.5
34,20,1,1,2,1.0,0.5,0.5
34,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
34,28,2,2,4,1.0,0.5,0.5
34,60,1,1,2,1.0,0.5,0.5
34,62,1,1,2,1.0,0.5,0.5
34,66,1,1,2,1.0,0.5,0.5
34,72,1,1,2,1.0,0.5,0.5
35,3,4,5,6,0.8,0.8333333333333334,0.6666666666666666
35,5,2,3,4,0.6666666666666666,0.75,0.5
35,9,1,1,2,1.0,0.5,0.5
35,20,1,1,2,1.0,0.5,0.5
35,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
35,28,2,2,4,1.0,0.5,0.5
35,60,1,1,2,1.0,0.5,0.5
35,62,1,1,2,1.0,0.5,0.5
35,66,1,1,2,1.0,0.5,0.5
35,72,1,1,2,1.0,0.5,0.5
37,3,4,5,6,0.8,0.8333333333333334,0.6666666666666666
37,5,2,3,4,0.6666666666666666,0.75,0.5
37,9,1,1,2,1.0,0.5,0.5
37,20,1,1,2,1.0,0.5,0.5
37,27,1,2,3,0.5,0.6666666666666666,0.3333333333333333
37,28,3,3,4,1.0,0.75,0.75
37,60,1,1,2,1.0,0.5,0.5
37,62,1,1,2,1.0,0.5,0.5
37,66,1,1,2,1.0,0.5,0.5
37,72,1,1,2,1.0,0.5,0.5
38,3,5,5,6,1.0,0.8333333333333334,0.8333333333333334
38,5,2,3,4,0.6666666666666666,0.75,0.5
38,9,1,1,2,1.0,0.5,0.5
38,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
38,62,1,1,2,1.0,0.5,0.5
