sc_id,msnv_id,num_imm_processed,num_triggered,imm_processed/triggered
34,72,1,2,0.5
34,74,1,1,1.0
35,3,4,6,0.6666666666666666
35,5,3,4,0.75
35,9,1,2,0.5
35,11,1,1,1.0
35,20,1,2,0.5
35,27,3,3,1.0
35,28,1,3,0.3333333333333333
35,30,1,1,1.0
35,60,1,2,0.5
35,62,1,2,0.5
35,66,1,2,0.5
35,72,2,2,1.0
35,74,1,1,1.0
37,3,0,6,0.0
37,5,1,4,0.25
37,9,1,2,0.5
37,11,1,1,1.0
37,20,2,2,1.0
37,27,2,3,0.6666666666666666
37,28,2,4,0.5
37,30,1,1,1.0
37,60,2,2,1.0
37,62,1,2,0.5
37,66,2,2,1.0
37,72,0,2,0.0
37,74,0,1,0.0
38,3,2,6,0.3333333333333333
38,5,3,4,0.75
38,9,1,2,0.5
38,11,1,1,1.0
38,20,1,1,1.0
38,27,3,3,1.0
38,28,1,1,1.0
38,30,0,0,
38,60,1,1,1.0
38,62,2,2,1.0
38,66,1,1,1.0
38,72,0,2,0.0
38,74,0,1,0.0
39,3,4,6,0.6666666666666666
39,5,3,4,0.75
39,9,2,2,1.0
39,11,1,1,1.0
39,20,1,2,0.5
39,27,2,3,0.6666666666666666
39,28,3,4,0.75
39,30,1,1,1.0
39,60,2,2,1.0
39,62,2,2,1.0
39,66,1,2,0.5
39,72,2,2,1.0
39,74,1,1,1.0
41,3,0,6,0.0
41,5,1,4,0.25
41,9,0,2,0.0
41,11,0,1,0.0
41,20,0,2,0.0
41,27,0,3,0.0
41,28,1,3,0.3333333333333333
41,30,0,1,0.0
41,60,0,2,0.0
41,62,0,1,0.0
41,66,1,2,0.5
41,72,0,2,0.0
41,74,0,1,0.0
42,3,1,3,0.3333333333333333
42,5,2,4,0.5
42,9,2,2,1.0
42,11,1,1,1.0
42,20,2,2,1.0
42,27,2,3,0.6666666666666666
42,28,1,4,0.25
42,30,1,1,1.0
42,60,2,2,1.0
42,62,2,2,1.0
42,66,2,2,1.0
42,72,2,2,1.0
42,74,0,1,0.0
43,3,0,6,0.0
43,5,1,4,0.25
43,9,0,2,0.0
43,11,1,1,1.0
43,20,1,2,0.5
43,27,2,3,0.6666666666666666
43,28,1,4,0.25
43,30,1,1,1.0
43,60,1,2,0.5
43,62,1,2,0.5
43,66,1,2,0.5
43,72,0,0,
43,74,1,1,1.0
44,3,6,6,1.0
44,5,4,4,1.0
44,9,2,2,1.0
44,11,1,1,1.0
44,20,2,2,1.0
44,27,3,3,1.0
44,28,2,4,0.5
44,30,1,1,1.0
44,60,1,2,0.5
44,62,2,2,1.0
44,66,2,2,1.0
44,72,1,2,0.5
44,74,1,1,1.0
46,3,4,6,0.6666666666666666
46,5,2,4,0.5
46,9,1,2,0.5
46,11,1,1,1.0
46,20,1,2,0.5
46,27,1,3,0.3333333333333333
46,28,1,4,0.25
46,30,1,1,1.0
46,60,2,2,1.0
46,62,2,2,1.0
46,66,1,2,0.5
46,72,1,2,0.5
46,74,1,1,1.0
49,3,2,6,0.3333333333333333
49,5,2,4,0.5
49,9,2,2,1.0
49,11,1,1,1.0
49,20,2,2,1.0
49,27,1,1,1.0
49,28,1,1,1.0
49,30,1,1,1.0
49,60,1,1,1.0
49,72,0,2,0.0
49,74,1,1,1.0
50,3,2,2,1.0
50,5,1,3,0.3333333333333333
50,11,1,1,1.0
50,20,2,2,1.0
50,27,1,2,0.5
50,28,0,1,0.0
50,60,0,2,0.0
50,66,1,2,0.5
50,72,1,1,1.0
51,3,0,6,0.0
51,5,1,4,0.25
51,9,1,2,0.5
51,11,1,1,1.0
51,20,1,2,0.5
51,27,1,3,0.3333333333333333
51,28,1,4,0.25
51,30,0,1,0.0
51,60,1,2,0.5
51,62,0,2,0.0
51,66,0,2,0.0
51,72,0,2,0.0
51,74,1,1,1.0
54,3,2,6,0.3333333333333333
54,5,1,4,0.25
54,9,1,2,0.5
54,11,1,1,1.0
54,20,2,2,1.0
54,27,3,3,1.0
54,28,1,4,0.25
54,30,1,1,1.0
54,60,1,2,0.5
54,62,1,2,0.5
54,66,1,2,0.5
54,72,1,2,0.5
54,74,1,1,1.0
56,3,0,6,0.0
56,5,1,4,0.25
56,9,1,2,0.5
56,11,0,1,0.0
56,20,1,2,0.5
56,27,0,3,0.0
56,28,0,4,0.0
56,30,1,1,1.0
56,60,1,2,0.5
56,62,1,2,0.5
56,66,0,2,0.0
56,74,0,1,0.0
60,3,2,6,0.3333333333333333
60,5,0,4,0.0
60,9,1,2,0.5
60,11,1,1,1.0
60,20,1,2,0.5
60,27,1,3,0.3333333333333333
60,28,0,3,0.0
60,30,1,1,1.0
60,60,1,1,1.0
60,62,0,2,0.0
60,66,1,2,0.5
60,72,1,2,0.5
60,74,1,1,1.0
63,3,0,6,0.0
63,5,1,4,0.25
63,9,1,2,0.5
63,20,0,2,0.0
63,27,1,3,0.3333333333333333
63,28,1,3,0.3333333333333333
63,30,1,1,1.0
63,60,1,2,0.5
63,62,1,1,1.0
63,66,1,2,0.5
63,72,1,2,0.5
63,74,1,1,1.0
66,3,0,6,0.0
66,5,1,4,0.25
66,9,1,2,0.5
66,11,1,1,1.0
66,20,1,2,0.5
66,27,1,3,0.3333333333333333
66,28,0,4,0.0
66,30,1,1,1.0
66,60,1,2,0.5
66,62,1,2,0.5
66,66,1,2,0.5
66,72,1,2,0.5
66,74,1,1,1.0
68,3,0,6,0.0
68,5,1,4,0.25
68,9,1,2,0.5
68,11,1,1,1.0
68,20,1,2,0.5
68,27,1,3,0.3333333333333333
68,28,1,4,0.25
68,30,1,1,1.0
68,60,1,1,1.0
68,62,1,2,0.5
68,66,1,1,1.0
68,72,1,2,0.5
68,74,1,1,1.0
69,3,5,5,1.0
69,5,3,4,0.75
69,9,2,2,1.0
69,11,1,1,1.0
69,20,2,2,1.0
69,27,1,1,1.0
69,28,3,4,0.75
69,30,1,1,1.0
69,60,1,2,0.5
69,62,2,2,1.0
69,66,0,0,
69,72,1,2,0.5
69,74,1,1,1.0
71,3,1,6,0.16666666666666666
71,5,3,3,1.0
71,9,1,2,0.5
71,11,1,1,1.0
71,20,1,2,0.5
71,27,1,3,0.3333333333333333
71,28,2,4,0.5
71,30,1,1,1.0
71,60,1,2,0.5
71,62,1,2,0.5
71,66,1,1,1.0
71,72,1,2,0.5
71,74,1,1,1.0
73,3,0,6,0.0
73,5,0,4,0.0
73,9,1,2,0.5
73,11,1,1,1.0
73,20,1,2,0.5
73,27,1,3,0.3333333333333333
73,28,2,3,0.6666666666666666
73,30,1,1,1.0
73,60,0,1,0.0
73,62,1,1,1.0
73,66,1,1,1.0
73,72,1,2,0.5
73,74,1,1,1.0
75,3,2,6,0.3333333333333333
75,5,2,4,0.5
75,9,1,2,0.5
75,11,1,1,1.0
75,20,2,2,1.0
75,27,1,3,0.3333333333333333
75,28,2,4,0.5
75,30,1,1,1.0
75,60,1,2,0.5
75,62,2,2,1.0
75,66,1,2,0.5
75,72,1,2,0.5
75,74,1,1,1.0
77,3,2,6,0.3333333333333333
77,5,1,4,0.25
77,9,1,2,0.5
77,11,1,1,1.0
77,20,1,2,0.5
77,27,1,3,0.3333333333333333
77,28,2,4,0.5
77,30,1,1,1.0
77,60,1,2,0.5
77,62,1,2,0.5
77,66,1,2,0.5
77,72,1,2,0.5
77,74,1,1,1.0
78,3,2,6,0.3333333333333333
78,5,1,4,0.25
78,9,1,2,0.5
78,11,1,1,1.0
78,20,1,2,0.5
78,27,1,1,1.0
78,28,1,3,0.3333333333333333
78,30,1,1,1.0
78,60,1,1,1.0
78,62,1,2,0.5
78,66,1,1,1.0
78,72,1,2,0.5
78,74,1,1,1.0
81,3,2,6,0.3333333333333333
81,5,0,0,
81,9,2,2,1.0
81,11,1,1,1.0
81,20,1,2,0.5
81,27,2,3,0.6666666666666666
81,28,2,4,0.5
81,30,1,1,1.0
81,60,0,0,
81,62,2,2,1.0
81,66,1,2,0.5
81,72,1,2,0.5
81,74,1,1,1.0
85,3,2,3,0.6666666666666666
85,5,1,4,0.25
85,9,1,2,0.5
85,11,1,1,1.0
85,20,1,2,0.5
85,27,1,3,0.3333333333333333
85,28,1,3,0.3333333333333333
85,30,1,1,1.0
85,60,1,2,0.5
85,62,1,2,0.5
85,72,0,1,0.0
85,74,1,1,1.0
