Sc_id	aoisequence	9_ref_101_rule_fixationrate	9_ref_101_rule_longestfixation	9_ref_101_rule_meanfixationduration	9_ref_101_rule_numfixations	9_ref_101_rule_numtransfrom_9_ref_100_rule	9_ref_101_rule_numtransfrom_9_ref_101_rule	9_ref_101_rule_numtransfrom_Highlighted bars	9_ref_101_rule_proportionnum	9_ref_101_rule_proportiontime	9_ref_101_rule_proptransfrom_9_ref_100_rule	9_ref_101_rule_proptransfrom_9_ref_101_rule	9_ref_101_rule_proptransfrom_Highlighted bars	9_ref_101_rule_stddevfixationduration	9_ref_101_rule_timetofirstfixation	9_ref_101_rule_timetolastfixation	9_ref_101_rule_totaltimespent	9_ref_100_rule_fixationrate	9_ref_100_rule_longestfixation	9_ref_100_rule_meanfixationduration	9_ref_100_rule_numfixations	9_ref_100_rule_numtransfrom_9_ref_100_rule	9_ref_100_rule_numtransfrom_9_ref_101_rule	9_ref_100_rule_numtransfrom_Highlighted bars	9_ref_100_rule_proportionnum	9_ref_100_rule_proportiontime	9_ref_100_rule_proptransfrom_9_ref_100_rule	9_ref_100_rule_proptransfrom_9_ref_101_rule	9_ref_100_rule_proptransfrom_Highlighted bars	9_ref_100_rule_stddevfixationduration	9_ref_100_rule_timetofirstfixation	9_ref_100_rule_timetolastfixation	9_ref_100_rule_totaltimespent	Highlighted bars_fixationrate	Highlighted bars_longestfixation	Highlighted bars_meanfixationduration	Highlighted bars_numfixations	Highlighted bars_numtransfrom_9_ref_100_rule	Highlighted bars_numtransfrom_9_ref_101_rule	Highlighted bars_numtransfrom_Highlighted bars	Highlighted bars_proportionnum	Highlighted bars_proportiontime	Highlighted bars_proptransfrom_9_ref_100_rule	Highlighted bars_proptransfrom_9_ref_101_rule	Highlighted bars_proptransfrom_Highlighted bars	Highlighted bars_stddevfixationduration	Highlighted bars_timetofirstfixation	Highlighted bars_timetolastfixation	Highlighted bars_totaltimespent
msnv60_allsc	[('Highlighted bars', 311327, 233), ('9_ref_101_rule', 311327, 233), ('Highlighted bars', 319713, 225), ('9_ref_101_rule', 319713, 225), ('9_ref_100_rule', 319963, 208), ('Highlighted bars', 319963, 208), ('Highlighted bars', 320179, 100), ('9_ref_101_rule', 320179, 100), ('Highlighted bars', 321395, 308), ('9_ref_101_rule', 321395, 308), ('9_ref_100_rule', 321728, 325), ('Highlighted bars', 321728, 325), ('9_ref_100_rule', 322977, 233), ('Highlighted bars', 322977, 233), ('9_ref_100_rule', 323219, 133), ('Highlighted bars', 323219, 133), ('9_ref_100_rule', 323594, 133), ('Highlighted bars', 323594, 133), ('Highlighted bars', 324277, 183), ('9_ref_101_rule', 324277, 183), ('Highlighted bars', 325151, 133), ('9_ref_101_rule', 325151, 133), ('Highlighted bars', 325559, 83), ('9_ref_101_rule', 325559, 83), ('Highlighted bars', 325659, 100), ('9_ref_101_rule', 325659, 100), ('9_ref_100_rule', 325809, 167), ('Highlighted bars', 325809, 167), ('Highlighted bars', 329098, 333), ('9_ref_101_rule', 329098, 333), ('9_ref_100_rule', 329448, 133), ('Highlighted bars', 329448, 133), ('Highlighted bars', 329831, 133), ('9_ref_101_rule', 329831, 133), ('9_ref_100_rule', 330039, 591), ('Highlighted bars', 330039, 591)]	0.00546149645003	333	183	10	2	1	3	0.00423908435778	0.0029605507821	0.333333333333	0.166666666667	0.5	88.9238125838	-1	286526	1831	0.00416016640666	591	240	8	2	5	7	0.00339126748622	0.00310930592789	0.142857142857	0.357142857143	0.5	156.376377463	-1	286734	1923	0.00479488545551	591	208	18	4	6	10	0.007630351844	0.00606985670999	0.2	0.3	0.5	122.936138371	-1	286734	3754
11	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
27	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
20	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
30	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
28	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
62	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
60	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
76	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
3	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
